M,Q,T_outer,T_cosmo,S_outer,S_cosmo,Delta_total
0.10834495232219976,0.07276358330023344,0.34050150478575647,0.07917231236248484,0.1150375552997719,8.178171304080589,1.1315691013890188
0.10613338833978249,0.07420931346816374,0.34683530210822333,0.0794872785710896,0.10695774419643465,8.206878701796644,1.110941514776302
0.103730610620607,0.07530831765333452,0.35369559922224564,0.07982305444890889,0.0988017962755397,8.237680982217903,1.088295182275937
0.10119058037216455,0.0760359145910593,0.36091472073837405,0.08017159690398103,0.09080620990799676,8.269857005778803,1.0641147450825788
0.09857034119785485,0.0763757640227227,0.36834395056313035,0.0805247860159291,0.08319386356066773,8.302666492152417,1.0389176050562945
0.09592873802063241,0.07632023366276146,0.37589584698508627,0.0808746270078065,0.07616720795991135,8.335367911382193,1.0132428414272763
0.0933250955528991,0.07587057060334396,0.3835966416947452,0.08121342801602961,0.06990244384343522,8.367235197028556,0.9876403198973875
0.09081788599136009,0.07503687330736868,0.3916251045643637,0.08153395131550212,0.06454383676130716,8.397572973250966,0.9626611507571052
0.08846341585754446,0.0738378648187585,0.4002921355598688,0.08182953779887285,0.06019732511888396,8.425730113193822,0.9388505224566739
0.08631456147472125,0.07230047228325867,0.40991424663798665,0.08209420614997348,0.056923734081791,8.451111550318023,0.9167426763695659
0.0844195814796735,0.07045922222279487,0.42059101139509003,0.08232272926748417,0.05473430207983322,8.473188344099821,0.8968553145897253
0.08282103303775552,0.06835546514422551,0.43200000342185,0.08251069112155492,0.053592973947214705,8.491506056744564,0.8796789300776009
0.08155481610070682,0.0660364468961041,0.4433649657784558,0.08265452743364028,0.05342796389042765,8.505691530306658,0.8656584665722935
0.08064936717113176,0.06355424762877675,0.45364449341628565,0.08275155344160273,0.0541496775290936,8.51545816708757,0.855170116152717
0.08012502067995653,0.06096461218648351,0.4618254608074775,0.08279998163016287,0.05566825141875316,8.520609814036392,0.8484998953142338
0.07999355231894895,0.05832569819833553,0.4671598751214829,0.08279893174324006,0.05790527388149222,8.521043337693307,0.845829349194581
0.0802579145840683,0.05569676998334562,0.4692668777422529,0.08274843470899514,0.06079836388979746,8.516749953311336,0.8472296435682463
0.08091217046877121,0.05313686760158949,0.4681168735386066,0.08264943134761116,0.06430024053619927,8.507815343151014,0.8526623770821651
0.08194162679637927,0.05070348094173931,0.463952563447092,0.08250376593401736,0.06837459054606408,8.494418567286147,0.8619848029371688
0.08332316419715055,0.048451258622104934,0.45719384141913383,0.08231417388601216,0.0729904744611441,8.476829738162289,0.8749577481459454
0.08502575631948164,0.046430780700482135,0.44835264656900414,0.0820842620758451,0.07811628445514891,8.455406400212182,0.8912552761020489
0.08701116661487582,0.044687422755098606,0.4379674042311608,0.08181847955857632,0.08371380145688324,8.430588530830834,0.9104756284816631
0.08923480704838917,0.04326033684695093,0.4265577485210717,0.08152207592116463,0.0897327032296588,8.402892062033816,0.9321531955059044
0.09164673944976931,0.04218157224892144,0.41459655573455795,0.08120104404241249,0.09610583714567249,8.372900816625357,0.9557713069983489
0.09419279701709897,0.04147535568820339,0.4024953726661077,0.08086204388893566,0.10274559135992592,8.34125676246739,0.9807756069420641
0.09681580078639038,0.04115754726623794,0.3905995094673839,0.0805123041396842,0.10954171239049898,8.30864851734397,1.0065877310349105
0.09945684374784584,0.04123528427502812,0.37918962716263804,0.08015949901664332,0.11636089265468634,8.275798088472902,1.032618979641791
