M,Lambda,x,Delta,eta_C,T_b,T_c
1e-08,1.000543194763186,1.1550141161155285e-08,1.0879841587236715e-07,0.9999999768997181,3978873.57729738,0.09191310136793741
1e-08,1.0005431948719252,1.1550141161782915e-08,1.0879841586645499e-07,0.9999999768997181,3978873.5772973816,0.09191310137293199
1e-08,1.0005431949806645,1.155014116241055e-08,1.0879841586054293e-07,0.9999999768997181,3978873.577297381,0.09191310137792662
1e-08,1.0005431950894037,1.1550141163038187e-08,1.0879841585463081e-07,0.9999999768997181,3978873.577297381,0.09191310138292116
1e-08,1.000543195198143,1.1550141163665828e-08,1.0879841584871868e-07,0.9999999768997181,3978873.57729738,0.0919131013879157
1e-08,1.0005431953068822,1.1550141164293461e-08,1.0879841584280657e-07,0.9999999768997181,3978873.57729738,0.09191310139291027
1e-08,1.0005431954156214,1.1550141164921096e-08,1.0879841583689447e-07,0.9999999768997181,3978873.57729738,0.09191310139790487
1e-08,1.0005431955243607,1.1550141165548734e-08,1.0879841583098228e-07,0.9999999768997181,3978873.577297381,0.09191310140289938
1e-08,1.0005431956331,1.1550141166176366e-08,1.0879841582507018e-07,0.9999999768997181,3978873.5772973816,0.09191310140789398
1e-08,1.0005431957418391,1.1550141166804004e-08,1.0879841581915807e-07,0.9999999768997181,3978873.577297381,0.09191310141288855
1e-08,1.0005431958505784,1.1550141167431646e-08,1.0879841581324596e-07,0.9999999768997181,3978873.57729738,0.09191310141788306
1e-08,1.0005431959593176,1.1550141168059275e-08,1.0879841580733384e-07,0.9999999768997181,3978873.577297381,0.09191310142287766
1e-08,1.0005431960680569,1.1550141168686915e-08,1.0879841580142175e-07,0.9999999768997181,3978873.57729738,0.09191310142787225
1e-08,1.000543196176796,1.1550141169314547e-08,1.0879841579550962e-07,0.9999999768997181,3978873.577297381,0.09191310143286684
1e-08,1.0005431962855353,1.1550141169942183e-08,1.0879841578959754e-07,0.9999999768997181,3978873.57729738,0.09191310143786141
1e-08,1.0005431963942746,1.155014117056982e-08,1.0879841578368541e-07,0.9999999768997181,3978873.57729738,0.09191310144285594
1e-08,1.0005431965030138,1.1550141171197456e-08,1.0879841577777329e-07,0.9999999768997181,3978873.57729738,0.09191310144785052
1e-08,1.000543196611753,1.1550141171825095e-08,1.0879841577186117e-07,0.9999999768997181,3978873.57729738,0.09191310145284508
1e-08,1.0005431967204923,1.155014117245273e-08,1.0879841576594907e-07,0.9999999768997181,3978873.57729738,0.09191310145783965
1e-08,1.0005431968292315,1.1550141173080366e-08,1.0879841576003694e-07,0.9999999768997181,3978873.57729738,0.09191310146283423
1e-08,1.0005431969379708,1.1550141173708001e-08,1.0879841575412482e-07,0.9999999768997181,3978873.57729738,0.09191310146782876
1e-08,1.00054319704671,1.1550141174335632e-08,1.0879841574821274e-07,0.9999999768997181,3978873.57729738,0.09191310147282343
1e-08,1.0005431971554493,1.155014117496327e-08,1.087984157423006e-07,0.9999999768997181,3978873.57729738,0.09191310147781794
1e-08,1.0005431972641885,1.1550141175590912e-08,1.0879841573638845e-07,0.9999999768997181,3978873.57729738,0.09191310148281244
1e-08,1.0005431973729277,1.1550141176218545e-08,1.0879841573047636e-07,0.9999999768997181,3978873.57729738,0.09191310148780707
1e-08,1.000543197481667,1.1550141176846182e-08,1.0879841572456424e-07,0.9999999768997181,3978873.57729738,0.09191310149280162
1e-08,1.0005431975904062,1.1550141177473815e-08,1.0879841571865208e-07,0.9999999768997181,3978873.577297381,0.09191310149779615
1e-08,1.0005431976991455,1.1550141178101453e-08,1.0879841571273998e-07,0.9999999768997181,3978873.57729738,0.09191310150279074
1e-08,1.0005431978078847,1.1550141178729085e-08,1.0879841570682786e-07,0.9999999768997181,3978873.577297381,0.09191310150778532
1e-08,1.000543197916624,1.1550141179356723e-08,1.0879841570091573e-07,0.9999999768997181,3978873.577297381,0.09191310151277987
1e-08,1.0005431980253632,1.1550141179984358e-08,1.0879841569500365e-07,0.9999999768997181,3978873.57729738,0.09191310151777447
1e-08,1.0005431981341024,1.1550141180611993e-08,1.0879841568909155e-07,0.9999999768997181,3978873.57729738,0.09191310152276908
1e-08,1.0005431982428417,1.1550141181239628e-08,1.0879841568317936e-07,0.9999999768997181,3978873.5772973816,0.0919131015277636
1e-08,1.000543198351581,1.1550141181867264e-08,1.0879841567726728e-07,0.9999999768997181,3978873.577297381,0.09191310153275818
1e-08,1.0005431984603201,1.1550141182494897e-08,1.0879841567135519e-07,0.9999999768997181,3978873.577297381,0.09191310153775278
1e-08,1.0005431985690594,1.1550141183122537e-08,1.0879841566544302e-07,0.999999976899718,3978873.577297381,0.09191310154274726
1e-08,1.0005431986777986,1.1550141183750174e-08,1.0879841565953094e-07,0.999999976899718,3978873.57729738,0.09191310154774186
1e-08,1.0005431987865379,1.1550141184377809e-08,1.0879841565361884e-07,0.999999976899718,3978873.57729738,0.09191310155273646
1e-08,1.000543198895277,1.155014118500544e-08,1.0879841564770668e-07,0.999999976899718,3978873.5772973816,0.091913101557731
1e-08,1.0005431990040163,1.155014118563308e-08,1.0879841564179454e-07,0.999999976899718,3978873.5772973816,0.09191310156272554
1e-08,1.0005431991127556,1.1550141186260718e-08,1.0879841563588247e-07,0.999999976899718,3978873.57729738,0.0919131015677201
1e-08,1.0005431992214948,1.1550141186888356e-08,1.0879841562997035e-07,0.999999976899718,3978873.57729738,0.09191310157271468
1e-08,1.000543199330234,1.1550141187515988e-08,1.0879841562405825e-07,0.999999976899718,3978873.57729738,0.09191310157770928
1e-08,1.0005431994389733,1.1550141188143626e-08,1.0879841561814613e-07,0.999999976899718,3978873.57729738,0.09191310158270383
1e-08,1.0005431995477125,1.1550141188771261e-08,1.0879841561223401e-07,0.999999976899718,3978873.57729738,0.09191310158769841
1e-08,1.0005431996564518,1.1550141189398894e-08,1.0879841560632187e-07,0.999999976899718,3978873.577297381,0.09191310159269296
1e-08,1.000543199765191,1.1550141190026534e-08,1.0879841560040976e-07,0.999999976899718,3978873.57729738,0.09191310159768751
1e-08,1.0005431998739303,1.1550141190654169e-08,1.0879841559449766e-07,0.999999976899718,3978873.57729738,0.0919131016026821
1e-08,1.0005431999826695,1.1550141191281807e-08,1.0879841558858554e-07,0.999999976899718,3978873.57729738,0.09191310160767667
1e-08,1.0005432000914087,1.1550141191909437e-08,1.0879841558267345e-07,0.999999976899718,3978873.57729738,0.09191310161267127
1e-08,1.000543200200148,1.1550141192537073e-08,1.0879841557676133e-07,0.999999976899718,3978873.57729738,0.09191310161766585
1e-08,1.0005432003088872,1.1550141193164712e-08,1.087984155708492e-07,0.999999976899718,3978873.57729738,0.09191310162266038
1e-08,1.0005432004176265,1.1550141193792342e-08,1.0879841556493708e-07,0.999999976899718,3978873.577297381,0.09191310162765501
