x,Delta,eta_C,M,T_ratio
9.300465384336348285e-01,3.136092417430483614e+00,4.720595893875487170e-02,3.326769107513777302e-01,9.527940410612451005e-01
9.314932302633006644e-01,3.136325364769492641e+00,4.621759962822292317e-02,3.327047068628872784e-01,9.537824003717771948e-01
9.329096631852649146e-01,3.136548235565470577e+00,4.525043122651793009e-02,3.327313010073535970e-01,9.547495687734820491e-01
9.342965123336240962e-01,3.136761483132742612e+00,4.430395875203259337e-02,3.327567472244983282e-01,9.556960412479672540e-01
9.356544343138570863e-01,3.136965538951085541e+00,4.337770168499591183e-02,3.327810969538697594e-01,9.566222983150041159e-01
9.369840679464819244e-01,3.137160813835433437e+00,4.247119336155662228e-02,3.328043991739175755e-01,9.575288066384433083e-01
9.382860349683350698e-01,3.137347699033488535e+00,4.158398040276940072e-02,3.328267005325147854e-01,9.584160195972306617e-01
9.395609406943862263e-01,3.137526567256387011e+00,4.071562217606964490e-02,3.328480454695327828e-01,9.592843778239303898e-01
9.408093746427856896e-01,3.137697773647176280e+00,3.986569028700680251e-02,3.328684763320358120e-01,9.601343097129931836e-01
9.420319111256335587e-01,3.137861656691487422e+00,3.903376809917855073e-02,3.328880334826120890e-01,9.609662319008214215e-01
9.432291098077727476e-01,3.138018539074379998e+00,3.821945028046524334e-02,3.329067554013141472e-01,9.617805497195347497e-01
9.444015162357346505e-01,3.138168728487067849e+00,3.742234237380914069e-02,3.329246787816464992e-01,9.625776576261908524e-01
9.455496623388137678e-01,3.138312518386924488e+00,3.664206039090948247e-02,3.329418386210054037e-01,9.633579396090905522e-01
9.466740669040956124e-01,3.138450188713899802e+00,3.587823042733152140e-02,3.329582683059392201e-01,9.641217695726684855e-01
9.477752360271327614e-01,3.138582006566239979e+00,3.513048829763462666e-02,3.329739996925751844e-01,9.648695117023654566e-01
9.488536635398379104e-01,3.138708226838168081e+00,3.439847918922950276e-02,3.329890631825253577e-01,9.656015208107705527e-01
9.499098314170557611e-01,3.138829092822030375e+00,3.368185733376349161e-02,3.330034877945696192e-01,9.663181426662365014e-01
9.509442101631648825e-01,3.138944836777147085e+00,3.298028569492414408e-02,3.330173012323827675e-01,9.670197143050758282e-01
9.519572591799655426e-01,3.139055680467515153e+00,3.229343567162966389e-02,3.330305299485565862e-01,9.677065643283702112e-01
9.529494271170250164e-01,3.139161835670307266e+00,3.162098681564536051e-02,3.330431992051525736e-01,9.683790131843547089e-01
9.539211522055643933e-01,3.139263504656994996e+00,3.096262656273634714e-02,3.330553331309983323e-01,9.690373734372637049e-01
9.548728625768998501e-01,3.139360880648774277e+00,3.031804997652638028e-02,3.330669547759281257e-01,9.696819500234734601e-01
9.558049765663764186e-01,3.139454148247866172e+00,2.968695950429306452e-02,3.330780861621547850e-01,9.703130404957069910e-01
9.567179030036725429e-01,3.139543483846147343e+00,2.906906474397942877e-02,3.330887483329453835e-01,9.709309352560205886e-01
9.576120414902903333e-01,3.139629056012472219e+00,2.846408222175460245e-02,3.330989613987613840e-01,9.715359177782453282e-01
9.584877826649896848e-01,3.139711025859944105e+00,2.787173517950069720e-02,3.331087445810143599e-01,9.721282648204992993e-01
9.593455084578798031e-01,3.139789547394310265e+00,2.729175337164207321e-02,3.331181162535746254e-01,9.727082466283579754e-01
9.601855923338239451e-01,3.139864767844579241e+00,2.672387287077873305e-02,3.331270939821658339e-01,9.732761271292212912e-01
9.610083995257774347e-01,3.139936827976900879e+00,2.616783588161522567e-02,3.331356945617672261e-01,9.738321641183848021e-01
9.618142872586322722e-01,3.140005862392624802e+00,2.562339056271488100e-02,3.331439340521313852e-01,9.743766094372849906e-01
9.626036049641066850e-01,3.140071999811479664e+00,2.509029085563725670e-02,3.331518278115340181e-01,9.749097091443627017e-01
9.633766944871833271e-01,3.140135363340676111e+00,2.456829632104614095e-02,3.331593905288451340e-01,9.754317036789539319e-01
